line,annotated
[Intro],0
"Thank you, Fizzle",0
[Chorus: 03 Greedo],0
"Tell the bank teller to relax (I had to tell that bitch, ""Relax"")",0
I got all these blue hundreds in the Glad bag (I got this money in the bag),0
"Tell a bank teller to relax (I had to tell that bitch, ""Relax"")",0
"I got all these blue hundreds in the Glad bag (I got this, hey)",0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"Tell a bank teller (woo), tell a bank (ayy), tell a bank teller (ayy)",0
"Tell a bank teller , tell a bank teller (ayy), bank teller (ayy)",0
"What I can't tell her, what I can’t (ayy), what I can't tell her? (ayy)",0
[Verse 1: Lil Pump],0
"What I can't tell her (huh), is that I just fucked her daughter (your daughter)",0
Jerry Springer just told me that Lil Pump is not the father (uh-uh),1
I got two trap houses (trap) and they all modern (brrt),0
"I just had a threesome in my PE locker, ooh (PE)",0
"I don’t want your bitch no more (no more), ooh",0
"Pouring up eighths, not fours, ooh (yeah)",0
"I just fucked a bitch, said she 35, oh (brrt)",0
"Told her ""suck my dick"", I'ma put your ass on (goddamn)",0
Got three mansions and,0
three phones,1
(phones),0
I forgot that I had a stripper at home (yeah),0
"I got molly, I got beans (woah)",0
I got percs and lot of cups,0
[Chorus: 03 Greedo],0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"Tell a bank teller (woo), tell a bank (ayy), tell a bank teller (ayy, ayy)",0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"What I can't tell her, what I can't (woo), what I can't tell her? (ayy)",0
[Verse 2: 03 Greedo],0
I'm in the foreign doin' 40 in the FasTrak,0
Drivin' slowly ’cause I can’t see past this trash bag,0
I,0
"got big bank, Gucci",1
on the dash-dash (free Drakeo),0
"I got money, give a fuck about a dashcam (skrrt, yeah)",0
Transform a new McLaren to a Trans Am,0
She just shit just like a birdie 'cause I’m cashed in (I'm too fuckin' cashed),0
"I just bought a brick, that's 36 O’s",0
"Studio in it, with like 36 hoes",0
"Niggas on the block, ask the bitch to move over",0
"Take that trip, don't lose that loaf",0
[Chorus: 03 Greedo &,0
Lil Uzi Vert,0
],0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"Tell a bank teller (woo), tell a bank (ayy), tell a bank teller (ayy, ayy)",0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
What I can't tell her,0
(Lil Uzi),0
", what I can't, what I can't tell her? (ayy,",0
let's go),0
[Verse 3: Lil Uzi Vert],0
"Rockstar, like I'm Paul McCartney (yeah)",1
"Ooh, Stella, Stella (ayy)",0
"I can't hear nothin', Helen Keller",1
You get punched and then some,0
"Me no rat, I get hella cheddar, I get mozzarella",0
"Take two-hunnid thousand out the bank, 'cause I fucked the teller",0
"My dough nuts, yeah my Kreme too Krispy, you can't kiss me, lick me",0
"Asian bitch playin' with my balls, so I call her Misty",1
"I fucked Trixie, then I made a wish, then saw Icky Vicky",1
"I'm not Mixy, you niggas too iffy, my Glock got a stiffy",1
[Chorus: 03 Greedo],0
"Tell a bank teller to relax (I had to tell that bitch, ""Relax"")",0
I got all these blue hundreds in the Glad bag (I got this money in the bag),0
"Tell a bank teller to relax (I had to tell that bitch, ""Relax"")",0
"I got all these blue hundreds in the Glad bag (I got this, hey)",0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"Tell a bank teller (woo), tell a bank (ayy), tell a bank teller (ayy)",0
"Tell a bank teller (woo), tell a bank teller (ayy), bank teller (ayy)",0
"What I can't tell her, what I can't, what I can't tell her? (ayy, ayy)",0
[Verse 4: DestoDubb &,0
Lil Uzi Vert,0
],0
Maison Margielas cost seven or better,0
"I'm a bank teller, no I'm a drank seller",0
(ayy),0
I'm a fat nigga in a Gucci sweater,0
I'm a rich nigga and she a gold digger,0
"He a great nigga, no, he a great nigga",0
"He rockin' Bape, but it's all fake nigga",0
They calling me racist 'cause I hate niggas,0
Grinding so hard that my portions got bigger,0
You is a better and I am a bidder,0
"She gave me top, so I had to send dinner",0
"Only sip Wock, I do not do no liquor",0
I am a winner and you is a quitter,0
"Suckin' my dick, now I know she a spitter",0
"Kickin' these pints, you gon' think I'm a kicker",0
"A pint before breakfast, a pint before dinner",0
"0-03 Pump, Greedo my nigga",0
[Verse 5: Smokepurpp],0
"Tell a bank teller, this Louis my sweater",0
"Came through with a Baretta, stack my cheese, that mozzarella",0
"Look at my teeth, uh (yeah), diamonds all on my teeth (ayy), ooh",0
"I'm gon' eat, uh (huh), ooh,",0
bon appétit,1
"(Lil Purpp), ooh",0
"She want come inside, but I'm gon' fuck her in the car (get some), ooh (huh)",0
"He gon' try to run, but I'm gon' put him on that dart",0
"Smoking weed and sippin' lean, diamonds dance in the dark (yeah)",0
"See the drip and see these diamonds, she know we all stars",0
[Chorus: 03 Greedo],0
"Tell a bank teller to relax (I had to tell that bitch, ""Relax"")",0
I got all these blue hundreds in the Glad bag (I got this money in the bag),0
"Tell a bank teller to relax (I had to tell that bitch, ""Relax"")",0
"I got all these blue hundreds in the Glad bag (I got this, hey)",0
"Tell a bank teller, tell a bank teller (ayy), bank teller",0
"Tell a bank teller (woo), tell a bank (ayy), tell a bank teller (ayy)",0
"Tell a bank teller (woo), tell a bank teller (ayy), bank teller (ayy)",0
"What I can't tell her, what I can't, what I can't tell her? (ayy)",0
