line,annotated
[Intro: Anup Timilsina &,0
Laure,0
],0
Case No. 420 hajir hoo,0
"Bikram Sambat 2066 saal 4 mahina 10 gatey, Thamel ma",0
Su shree Sita sanga rangey haat pakrau pareka,0
Abyukta daye shree Laure ra shree Gun Ace,0
Geeta ma haat rakhi kasam khanuhos,0
"Sita lai aankha lauda ta yesto vayo
Geeta mathi haat rakhda jhan ke hola?",0
[Verse 1: Laure &,0
Neha Pradhan,0
],0
"Dui barsa agadi, ma ra Gun Ace Thamel ma",0
"Rajdhani jada kheri kaam, thakai ra jhamel ma",0
Gayeu hami chiya khana,0
"Baira hotel thikkai thiyo, bhitra chhirda chidiyakhana",0
Welcome to hell,0
Kothai kotha ma ekdam rangin thiyo batabaran,0
Vada ko apsara lai paisa tirdai chhirharan,0
"Kalila, kalila thiye thuprai balika",0
"Yesto huda kina chupchan samaj, Nagarpalika?",0
Tara malai baal chikni!,0
Teti bela thiye ma ni halka maala maal,0
"Bikini, pantie ra dhaal thiyo chharprasta bhui vari",0
Uttejana le mattauthiyo malai ghari ghari,0
Jaba dekhthiye maile ardha-nangi pari yeha thari thari,0
"Gori, patali, kali, moti",0
Oth ma chamkilo laali poti,0
Sumsumaudai mero gaala ghati,0
Saala jathi le samati mero tala ko pakhura,0
Ma pani k kam? Samatde tesko chatti ko takura (Takura),0
[Chorus: Gun Ace],0
"Sojho thiye, ma Laure yo tero sangat ko dosh ho",0
Tyo boksi ra yo raksi ko sath ma jawani ko josh ho,0
"Sojho thiye, ma Laure yo tero sangat ko dosh ho",0
Tyo boksi ra yo raksi ko sath ma jawani ko josh ho,0
"[Verse 2: Laure,",0
Neha Pradhan,0
&,0
Gun Ace,0
],0
Marda ko jaat,0
Mitho lagcha hamlai nikkai nai arka ko ghar ko bhat,0
Pallo kotha bhitra jatra chaldaithiyo,0
Dui jodi ek arka mathi chadi masta hallaudaithiye khaat,0
Ahh Uhh,0
"Ma pani syal, khole tyo kotha ko jyal chyal byal mukh ma ryal mero",0
Tamma Variyo,0
"Ani? Mero lakhau cha ni, chala ko rau, alchi aaula jatro mero li-li-",0
Linggaa thadiyo,0
Sakina maile khapna,0
Aatma santusti ko lagi thale mantra japna,0
"""Om namo shivaye, maile khai k biraye??",0
"Dulo paye chiraye, gaye sauchalaye, hastamaithun Dwara giraye""",0
Jeth maile seteko maina,0
Tespachi teslai bheteko chaina,0
Pattau ya napattau aba dherai malai nasattau,0
"Mero boli namitho maan cha safa, sachha",0
"Nakh, mukh ustai cha gun ace kai hunu parcha bachha-cha-cha",0
[Chorus: Gun Ace],0
"Sojho thiye, ma Laure yo tero sangat ko dosh ho",0
Tyo boksi ra yo raksi ko sath ma jawani ko josh ho,0
"Sojho thiye, ma Laure yo tero sangat ko dosh ho",0
Tyo boksi ra yo raksi ko sath ma jawani ko josh ho,0
[Outro: Anup Timilsina],0
Badi ra prati badi tatha,0
Sakchi haruko tamam bayanlai madhye najar gardai,0
"Yo sammanit adalat, prati badi daye",0
Shree Laure ra shree Gun Ace lai,0
Doshi tahar gardai janai 10-10 hajar jariwana,0
Tatha 6-6 barsa jail sajaye,0
Ra neej Sita ko nawajat sishuko bharan posan,0
Shree Gun Ace le garnu parne,0
Avayukta daye ko naam ma,0
Yo adalat aadesh jari garda cha,0
