line,annotated
[Hook],0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,1
Mier schiesse aus letschts my nigga nid aui si real,0
Vertrau keine witches die bitches verzaubere di,1
"Figg aui die sitzende Niggas, i glaube a Dream",0
Vertrau a dim bruder denn brüeder die laufe im Team,0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
[Verse],0
Egau was seisch my Nigga mier ghöre di ned,0
Du ghörsch nid i Kreis my Nigga du ghörsch ine Witz,0
Denn was nid verschteisch: es geit da nur um Profit,0
Denn hesch du nid viel läbsch du de scheiss scho als Chind,0
I gseh di nid my Nigga mir nenne di Ghost,0
Du seisch du bisch eine vor Stross doch jede do nennt di e Hoe,0
Niemer do brucht e Verräter si wärde zu Täter wenn du si verchoufsch,0
I schütze mis Team und mis Team git mer Schutz denn das garantiert de Erfolg,0
Machsch du de Batze pass uf vor de Ratte und teil mit dim Brueder de Gwünn,0
Gucci und Louis lah se la schwätze si seit du bisch meh als e Fründ,0
Keine vo da isch verwöhnt. Mir investiere in was du verbrönnsch,0
Muess jede riskiere was nid jede könnt du mueschs der verdiene bevor du ders gönnsch,0
[Hook],0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
Mier schiesse aus letschts my nigga nid aui si real,0
Vertau keine wiches die bitches verzaubere di,0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
Mier schiesse aus letschts my nigga nid aui si real,0
Vertau keine wiches die bitches verzaubere di,0
"Figg aui die sitzende Niggas, i glaube a Dream",0
Vertrau a dim bruder denn brüeder die laufe im Team,0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
Aus um mi glänzt um mi jede vom Team,0
Du weisch mir rocke das Gucci das Louis und aues isch clean,0
[Outro],0
Jede vom Team au mini Niggas si glänze und '',0
Au mini Partner und mini Niggas si glänze und '',0
Es geit um Respekt '',0
'',0
