line,annotated
[Intro],0
What do you think people see when they look at you?,0
[Verse],0
Look,0
You see our gold chains and our flashy cars,0
I see a lack of self worth and I see battle scars,0
He has to be with twenty man when he wears jewelry,0
"And you see it as gangster, I see it as insecurity",0
"Where I'm from, everybody wants to make it out",0
But nobody wants to see somebody make it out,0
It ain't about who came around but more about who stayed around,1
"Behind the scenes, they said God gave us eyes to see",0
You see the video vixens and all their pearly whites,0
"But you don't see the dirty nights, long days and early flights",0
You see the deals and think all these rappers laughing now,0
"But you don't get that if we weren't already, we're a target now",0
"You see, all the groupie girls and think they're heaven sent",0
I see twenty-five minutes worth of empty sex,0
"To tell a lie, it wasn't my intention to objectify",0
"But I can testify, I've seen some shit you couldn't rectify",0
You see this industry where everybody came up,0
I see a bag of weird rappers and some fake love,0
Fake handshakes and fake spuds with fake comments,0
Where everybody covers costs but never pays homage,0
"The scene turned on me, people tryna ruin me",1
"Where most would see a problem, I'm seeing an opportunity",1
To drop a freestyle and kill them niggas that were booing me,1
I made my haters watch and put the screw inside of scrutiny,1
"Beautifully, also, if I am attending",0
Security's coming first like I was trying to shop at Duty Free,0
Where the fuck’s the unity?,0
"Where I come from there's no class, forget truancy",0
We have got nowt in common,0
Them niggas see a molehill and make a mountain from it,0
"They see a Cuban and a whip, I see a house deposit",0
How to stop it?,0
Niggas saw keys and went to trial for shottin',1
"I saw keys, learned to play, and made thousands from it",1
You see the club poppin' when we do the show,0
"But you don't see the studio, my life is not a movie, bro",0
Champagne bottles and all the screaming girls,0
It's ironic how you'll never hear a scream for help,0
"Fuckin' hell, why do you think we're going through the same thing?",0
"Depression when you make it, the pressure and the hatred",0
"Your people talk about you, you can't say shit",0
The moment that you ain't it,0
The labels are looking for replacements,0
"Same shit, people start forgetting what you've done for them",0
Everyone in music's gonna take until there's nothing left,0
Your fans are switching up on you,0
And they don't know how tough it gets,0
"Reading through your old comments, trying to feel some love again",0
I see karma,0
Go to work but God schemes harder,0
I heard success can come quickly but it leaves faster,0
Secrets are what my enemies have been after,1
Only L's I'm hiding in my closet have a V after,1
[Outro],0
"So looking at it from another perspective, playing devil's advocate
Considering you know you're obviously becoming famous, so to speak
But you still deal with a lot of issues on a human level
Do you ever just sit and wonder about the stories behind the people you meet day by day?
Does it make you feel grateful, in a weird way, for your life and problems?",0
