line,annotated
[Intro],0
Step it up,0
"Hear me, feel the funk, yeah",0
[Verse 1],0
I just smoked a whole eighth in a spliff,1
Some call that a problem but I call it a gift,1
Hit the clutch then I start to shift,0
Turn it up - light my dutch then start to drift,1
"Lost Angel, Westside rider",1
"The official, four-oh-five Friday, sound provider",1
"Underground hitman, hard to hire",1
Unsigned death threats written in typewriters,0
"Poetic, I'm that type of writer",0
Got that,0
"""Don't call me, I'll call you"" type of fire",1
"Fake it 'til you make it, you're such a good liar",0
Headliners used to not make the flyer,1
"Four-oh-one K, and I don't mean retire",1
"Chase loops, still war all day, I'm in denial",0
Peace ain't the word to play - it's violence,0
"I ain't have shit good to say, so here's silence",1
[Hook: cuts by DJ Revolution],0
I slow flows y'all to death,1
[Verse 2],0
"Yeah, don't stress, emotions rest",0
"'Til they wanna see my best, as good as it gets",0
"Don't hold weak cards, don't hold regrets",0
"Players, don't change past the seventh inning stretch",0
Learned from vets and they ain't pet doctors,1
"They the type they arrest in ""Clockers""",0
"We sellin out these operas, and don't mean sing",0
I mean opera house stage we rockin,0
"C-A, all day",1
"Reppin it, party time, excellent",0
"It's perfection kid, I'm not affectionate",0
"That's what my last girl said, too much estrogen",1
(I'm in trouble),0
"Yeah, that ain't PC",1
But sometimes that ain't E-V (what can I do) I just feel that way,0
"Right now I'm on my J-O, issue",1
payroll,0
"Speak in codes, 'til we reach another day",1
[Hook],0
[Verse 3],0
{Ay light another one man~!},0
"I used to be Ice-T ""Reckless""",1
(RECKLESS),0
Wild out like I'd never see breakfast,1
"Nightmares, tie in dreamcatchers",0
"Tryin to run breathless, outta control",0
"I don't give orders, I make suggestions",1
Then walk away! I've learned my lessons (Ev have patience),0
"It's simple, they neglect it",1
"They win at chess, still lose at checkers",1
"That ain't weakness, it's a death wish",0
Choke 'em out; another off the checklist,1
I came too far not to be respected,1
And drove too far to hear they closed the guestlist,1
(You gotta be kiddin me) A new rain out the,0
smokin bar,1
"Umbrellas up, these cats are dogs",1
And just because it barely ever hails in L.A,1
They say I can't reign the game and hail from,1
L.A.?,0
They crazy!,0
[Hook],0
[PMD],0
"When five-oh roll, they say what's the M.O",1
"Another rapper was hit, by Mr. Slow Flow",1
"""By Mr. Slow Flow"" {*scratched*}",0
[Ev] That's what they call me this year,0
