line,annotated
[Intro],0
"Yo Pi'erre, you wanna come out here?",1
(Bih!),0
[Chorus: Playboi Carti],0
"Poppin' tags, YSL (tags, what?)",1
"Smokin' gas (bih, gas), can't you tell? (what, bih)",1
"I'm in this bitch with Young Gunna, yeah ho, YSL (Pi'erre)",1
"Walk inside the club, I smell like YSL (Pi'erre)",1
"Fuckin' on your thot, your bitch, she wild as hell",0
"Ooh, I spend a check up on my watch, the frame is wide as hell (wide as hell)",1
"Fuckin' on your thot (bih), I smell like YSL (yo thot)",1
"In this bitch with Gunna, yeah ho, YSL (psh, bih)",1
[Verse 1: Playboi Carti],0
"Spend a check up on my jeans, them YSL (YSL)",1
"Spend a check up on my bih, that by myself (by myself)",0
"Kickin' shit, no kick flip, by myself (myself)",1
Smokin' on a big zip by myself (by myself),1
"Chain on, Lil Flip, by myself (by myself)",0
Shorty suckin' on the dick wit a big lip (big lip),0
"Racks up, racks up, no money clip (no money clip)",1
[Chorus: Playboi Carti],0
"Poppin' tags (tags, tags), YSL (let'go, what?)",1
"Smokin' gas (gas, gas), can't you tell? (Pi'erre)",1
"I'm in this bitch with Young Gunna (Gunna), yeah ho, YSL (YSL)",1
"Walk inside the club, I smell like YSL (YSL)",1
"Fuckin' on your thot, your bitch she wild as hell (bih)",0
"Ooh, I spend a check up on my watch (watch), the frame is wide as hell (wide as hell)",1
"Fuckin' on your thot (thot), I smell like YSL (thot, yah)",1
"In this bitch with Gunna, yeah ho, YSL (YSL)",1
[Verse 2: Gunna],0
"Saint Laurent (Saint Laurent), YSL (YSL)",1
"That's all done (yes), YSL (YSL)",1
Every now and then I still might rock Chanel (might still rock Chanel),1
"Cash out on a Benz (cash out), fore I bought a bale (bought a bale)",0
"Bought my bitch a clutch (clutch), it said ""YSL"" (it said ""YSL"")",1
"I can't smoke no Dutch (nah), still get high as hell (still get high as hell)",1
"Do that shit wit Playboi Carti (Carti), fuck these foreign girls (fuck these foreign)",0
New Mulsanne and Murciélago,1
And that new Moncler (new Moncler),1
"VVS (VVS), YSL (YSL)",1
"Elliot got water, they came out the whale (out the whale)",1
"You can't get this shit, like the drip for sale (drip for sale)",0
Bang that YSL 'til I'm dead and pale,1
[Chorus: Playboi Carti],0
"Poppin' tags (tags, tags), YSL (let'go, what?)",1
"Smokin' gas (gas, gas), can't you tell? (Pi'erre)",1
"I'm in this bitch with Young Gunna (Gunna), yeah ho, YSL (YSL)",1
"Walk inside the club, I smell like YSL (YSL)",1
"Fuckin' on your thot, your bitch she wild as hell",0
"Ooh, I spend a check up on my watch, the frame is wide as hell (wide as hell)",1
"Fuckin' on your thot (your thot), I smell like YSL (thot, yah)",1
"In this bitch with Gunna, yeah ho, YSL",1
"Poppin' tags (tags, tags), YSL (let'go, what?)",1
"Smokin' gas (gas, gas), can't you tell? (Pi'erre)",1
"I'm in this bitch with Young Gunna (Gunna), yeah ho, YSL (YSL)",1
"Walk inside the club, I smell like YSL (YSL)",1
"Fuckin' on your thot, your bitch she wild as hell (bih)",0
"Ooh, I spend a check up on my watch (watch), the frame is wide as hell (wide as hell)",1
"Fuckin' on your thot (your thot), I smell like YSL (thot, yah)",1
"In this bitch with Gunna, yeah ho, YSL",1
