line,annotated
[Intro],0
"Ah, ah, ah",0
Wills Productions,0
#LosaNaLosa,0
[Couplet 1 : Bramsito],0
Te demande pas à qui j'suis affilié (j’suis affilié),0
Mon train de vie ici-bas n'est pas assuré (pas assuré),0
Des fleuves de larmes couleront à la mer (à la mer),0
"Tout est si beau, les roses poussent dans la merde (skurt, skurt)",0
"Lueur d'espoir m’éclaire mais j'suis mal luné (skurt, skurt)",0
Ce cœur de pierre finira par tout ruiner (ouh),0
"Amour et guerre, souvent, n'font pas la paire (skurt, skurt)",0
"Mes ennemis, sur la place, veulent me lapider",0
[Pré-refrain : Bramsito],0
J'suis en lunette Cartier (posé dans le quartier),0
"T'attends que j'te rappelle (ce soir, nan, j'vais pas rentrer)",0
J'dois surveiller l’Cartel (y a plus rien dans l’sachet et les grosses têtes vont s'fâcher),0
[Refrain : Bramsito],0
"Ah, ah, ah",0
Me parle plus d’amour même si t'es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
Me parle plus d'amour même si t’es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
"T'étais ma bad girl, ah, ah, ah",0
T'étais ma bad girl,0
"Eh ouais, ma bad girl, ah, ah, ah",0
Mais j'ai un sale mood,0
[Couplet 2 : Booba],0
"Tu m'aimes c'est ton problème, ce n'est pas le mien",1
"J'suis garé sur les Champs, j'claque 20 milles chez Balmain",0
"J'ai signé pour le niquage, j'ai rempli le bon",1
"N'hausse pas le ton, négro, ne fais pas le con",0
"On s'est croisé à Orly Ouest, personne n'a pris l'avion",1
"Mois d'août en hess au D4, j'ai bien retiendu la leçon",1
"J'ai vu l'ennemi en Veyron, #hallucination",1
"Faut à tout prix que j'me retire, #sapériodedovulation",1
[Pré-refrain : Bramsito],0
J'suis en lunette Cartier (posé dans le quartier),0
"T'attends que j'te rappelle (ce soir, nan, j'vais pas rentrer)",0
J'dois surveiller l'Cartel (y a plus rien dans l'sachet et les grosses têtes vont s'fâcher),0
[Refrain : Bramsito],0
"Ah, ah, ah",0
Me parle plus d'amour même si t'es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
Me parle plus d'amour même si t'es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
"T'étais ma bad girl, ah, ah, ah",0
T'étais ma bad girl,0
"Eh ouais, ma bad girl, ah, ah, ah",0
Mais j'ai un sale mood,0
[Pont : Bramsito],0
"Si j'pars en vrille désolé, je fais le vide désolé",0
"Que l'mépris pour m'épauler, plus aucune envie désormais",0
"Si j'pars en vrille désolé, je fais le vide désolé",0
"Que l'mépris pour m'épauler, plus aucune envie désormais",0
[Refrain : Bramsito],0
"Ah, ah, ah",0
Me parle plus d'amour même si t'es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
Me parle plus d'amour même si t'es une bad girl car j'ai un sale mood (sale mood),0
"Ah, ah, ah",0
"T'étais ma bad girl, ah, ah, ah",0
T'étais ma bad girl,0
"Eh ouais, ma bad girl, ah, ah, ah",0
Mais j'ai un sale mood,0
