line,annotated
[Intro],0
There's not a soul in here,0
[Verse 1: Merlyn Wood],0
Pull to your house and dump like a trash man,1
"All up in your grill, but I'm not a fan",0
"Merlyn, I do no hat trick, just show me where the cash at",0
"Then show me where the hash at, fuck that",0
Show me where the cash at,0
(,0
There's not a soul in here,0
),0
"I would rather be on acid, rather make investments",0
"They'll come out of that debt, we'll come out of those bed sheets",0
"I'm like the IRS, pull up to your address",1
"I was trying my best to seizure, but pull it like Keisha",0
(,0
There's not a soul in here,0
),0
"Johnny Dang gon' ice my diamonds, up out that freezer",1
"I used to be broke, I don't got amnesia",0
"I used to deal with both, now it's black victims",0
She know not to call collect if she go to prison,0
(,0
There's not a soul in here,0
),0
[Chorus: Merlyn Wood],0
Pull to your window and drizzle with that pitter-pat (Ba-dam!),0
G-P to S and figure where you niggas at (Show out),0
"""Where the cash at?"" Used to ask that (Ay, clip, hoe out, throw down, hoe out, know 'bout, throw down, hold out)",0
"""Where the cash at?"" Used to ask that",0
(,0
There's not a soul in here—,0
),0
Pull to your window and drizzle with that pitter-pat (Ba-dam!),0
G-P to S and figure where you niggas at (Show out),0
"""Where the cash at?"" Used to ask that",0
"(Ay, clip, hoe out, throw down, hoe out)",0
"(Now 'bout, throw down, hold out)",0
"""Where the cash at?"" Used to ask that",0
[Verse 2: Matt Champion],1
"At night I bring them out, I was sleeping upside-down",0
"Keep you up, I come around, they stay right up on my tip",0
"Send me a pic whenever you slip, hoping this outflow my scales",0
"Full throttle whenever I blaze, fifty mil, put it under my wheel (",0
There's not a soul in here—,0
),0
"Human, I see through your eyes",0
Until my CCC wide open to my skin,0
"They can see they run, they feel like they been kicking DDR",1
Bustin' out the bar,1
", human of the tour",0
"They grip three types of the gas, miss the days I can't get back (",0
There's not a soul in here—,0
),0
[Chorus: Merlyn Wood],0
Pull to your window and drizzle with that pitter-pat (Ba-dam!),0
G-P to S and figure where you niggas at? (Show out),0
"""Where the cash at?"" Used to ask that (Ay, clip, hoe out, throw down, hoe out, know 'bout, throw down, hold out)",0
"""Where the cash at?"" Used to ask that",0
(,0
There's not a soul in here—,0
),0
Pull to your window and drizzle with that pitter-pat (Ba-dam!),0
"G-P to S and figure, where you niggas at (Show out)",0
"""Where the cash at?"" Used to ask that (Ay, clip, hoe out)",0
"""Where the cash at?"" Used to ask that",0
