line,annotated
[Intro],0
16yrold,1
Bitch!,0
Daytrip took it to 10,1
[Chorus],0
I got hoes,1
"Callin' a young nigga phone (Ring, ring)",1
"Where's Ali with the mothafuckin' dope? (Bitch, bitch)",1
"I be ballin' like a mothafuckin' pro (Like a, huh, like a, huh)",1
"I be ballin' like my nigga Mo (Bamba, bitch)",1
"Sheck Wes, I ain't a mothafuckin' joke (Haha, hahahahaha)",0
"Steph Wes, stay with the fuckin' pole (Pa, pa, pa-pa)",1
"You fuck around and get poled (You get poled, bitch)",0
'Cause I got hoes (So many fuckin' hoes),1
Callin' a young nigga phone,1
"(Ring-ring, ring, ring-ring, ring, ring-ring)",0
Where's Ali with the (Bitch with the) mothafuckin' dope? (Huh),0
I be ballin' like a mothafuckin' pro (Like a mothafuckin' pro),1
"I be ballin' like my nigga Mo (Bamba, Bamba)",1
Sheck Wes got so many flows (I do it all),0
"Call me Drake, how a nigga contro—",1
[Verse],0
Oh! Fuck! Shit! Bitch! (Huh),0
"Yeah, it's Sheck Wes and I'm gettin' really rich (Ching-ching)",1
See how I caught it 'cause I'm really with the shits (Ping-ping),0
"See me in the streets and I be really with a (Cling, cling), with a",0
"Bad bitch (Bitch), niggas straight rockin' (Rock)",0
"Niggas straight see me, when they see me, they be coppin' (What?)",0
"I'm the best drug dealer, nigga, come and cop it  (Got it)",0
"Young Sheck Wes, I'm like the fuckin' Green Goblin",1
(Hahahaha),0
[Chorus],0
"I got hoes (Hoes, ho)",1
"Callin' a young nigga phone, phone (Bitch)",1
Where's Ali with the mothafuckin' dope?,1
(With the mothafuckin' dope),1
Dope (With the mothafuckin' dope),1
With the mothafuckin' dope (Bitch),1
"With the dope (Gettin' rich), with my bros (Bitch, shit)",1
I fucked your ho (Shit),0
And she ain't even let you know (Shit fucked up),0
[Outro],0
"Damn, this nigga nice, fuck is you talking about?",0
('Cause I got) Bitch (Hoes),0
"And my nigga One-Six, my nigga",1
"Ali, the Daytrip nigga, fuck is niggas talking about?",1
"(I got hoes, shit",0
"Young Sheck Wes, I do it on the go)",0
"Uh, woah, uh",0
