line,annotated
[Verse 1],0
"Look, black is beautiful, black is excellent",0
"Black is pain, black is joy, black is evident",0
It's workin' twice as hard as the people you know you're better than,1
'Cause you need to do double what they do so you can level them,1
Black is so much deeper than just African-American,0
"Our heritage been severed, you never got to experiment",0
"With family trees, 'cause they teach you 'bout famine and greed",0
And show you pictures of our fam on their knees,0
"Tell us we used to be barbaric, we had actual queens",1
Black is watchin' child soldiers gettin' killed by other children,1
"Feelin' sick, like, ""Oh shit, this could have happened to me""",0
Your mummy watchin' tellin' stories 'bout your dad and your niece,0
The blacker the berry the sweeter the juice,1
"A kid dies, the blacker the killer, the sweeter the news",1
"And if he's white you give him a chance, he's ill and confused",1
"If he's black he's probably armed, you see him and shoot",1
[Verse 2],0
"Look, black is growin' up around the barbershop",0
"Mummy sayin', ""Stay away from trouble, you’re in yard a lot""",0
"Studying for ages, appreciatin' the chance you got",0
"'Cause black is in your blood, and you ain't even got the heart to stop",0
Black is steppin' in for your mother because your father's gone,0
And standin' by your children when you haven't proven karma wrong,0
Black is doin' all of the above then goin' corner shoppin',0
Tryna help a lady cross the road to have her walkin' off,0
Black is growin' up around your family and makin' it,0
Then being forced to leave the place you love because there's hate in it,0
"People say you fake the shit, never stayed to change the shit",0
"But black is bein' jealous, you'd be dead if you had stayed in it",0
Black is strugglin' to find your history or trace the shit,0
You don't know the truth about your race 'cause they erasin' it,0
"Black has got a sour fuckin' flavour, here's a taste of it",0
"But black is all I know, there ain't a thing that I would change in it",0
[Verse 3],0
"Look, black ain't just a single fuckin' colour, man there's shades to it",0
Her hair's straight and thick but mine's got waves in it,0
"Black is not divisive, they been lyin' and I hate the shit",0
"Black has never been a competition, we don't make this shit",0
Black is deadly,0
Black is when you're freezin' in your home and you can't get sleep but never feelin' empty,0
'Cause you got 20 cousins in your country living stress-free,0
"Walkin' for their water, daughter wrapped inside a bed sheet",0
"Black is distant, it's representin' countries that never even existed while your grandmother was livin'",1
Black is my Ghanaian brother readin' into scriptures,0
"Doin' research on his lineage, findin' out that he's Egyptian",0
Black is people namin' your countries on what they trade most,1
"Coast of Ivory, Gold Coast, and the Grain Coast",1
But most importantly to show how deep all this pain goes,0
"West Africa, Benin, they called it slave coast",1
"Black is so confusin', 'cause the culture? They're in love with it",0
They take our features when they want and have their fun with it,0
Never seem to help with all the things we know would come with it,0
"Loud in our laughter, silent in our sufferin'",0
Black is bein' strong inside and facing defeat,0
"Poverty made me a beast, I battled the law in the streets",0
"We all struggled, but your struggle ain't a struggle like me",0
Well how could it be when your people gave us the odds that we beat?,0
"I mean, fuckin' hell, what about our brothers that are stuck in jail?",1
"That couldn't bust a bell, they held a bird and gotta live with it",1
Black is bein' guilty until proven that you're innocent,0
"Black is sayin', ""Free my fucking niggas stuck inside in prison cells""",0
"They think it's funny, we ain't got nothin' to say to them",0
Unconditional love is strange to them; it's amazin' 'em,0
"Black is like the sweetest fuckin' flavour, here's a taste of it",0
"But black is all I know, there ain't a thing that I would change in it",0
