line,annotated
[Verse],0
"Get in the car, hittin' the dope, gettin' the coat, aye, lil nigga, hit the floor",0
"I'm smokin' dope, movin' slow, or movin' fast, man I don't really know",0
"Got a hard head, gettin' the Glock, 30 shots, lumberjacks, split it open",0
"Get your thot, she is hot, she will not nonstop feelin' on me",0
"Ridin' 'round us, It's goin' down, it's goin' up, these fuck niggas know what's up",0
"It's goin' 'round it's goin' out, it's goin' in, goin' in to finish up",0
"The bands is up, money's up, bitch is up, nigga put your feelings up",0
"This Dillinger hit ya up, up and down, cylinder",0
"Bitch came in my mansion, she trippin', she in my pantry",0
"I see why she got cavities, she say she want some candy",0
"I got dozens of eggs, that's got dozens of yolk, you hear me",0
"Come through like it's Halloween, sendin' eggs all down your chimney",0
"I thought it was Christmas, got your mistress wrapped up",0
"You think that I'm kiddin'? round of applause, get clapped up",1
"Like I want the roll soo bad, get on the spot and not act up",0
Sosa tsunami jump out on your block now it's cracked up,0
"You's a candle, I'm a lamp",0
Where's the cane? I'm a pimp,0
Where's the space? I'm claustrophobic,0
Move out the lane cause I am bowlin',0
"Dribble dribble, I am ballin'",0
"Shitty nigga, he's a staller",0
"Doggystyle, she bendin' over",0
She let me fuck and I didn't even know her,0
Smokin' big ass blunts the size of my fist,0
"Start runnin', but I have your keys",0
"Start drivin', better have your gas",0
"Start eatin', better have your teeth",0
"80 inch TV fell on me, I think I got the devil on me",0
"But I got the lord on me, fuck these niggas that's bloodin' on me",0
When you see me on your TV speek,0
Everytime they see Keef he eatin',0
"I treat the hood of my car, like a seat",1
I treat your hood and your block like the sea,1
"You think that you's a shark, but you's a goldfish",0
"Boy ya ass a parrot, get your nose hit",0
I'm somethin' like pour some water on a wall switch,0
You think I got halitosis how I talk shit,0
You would think I ain't got no car how I'm walkin',0
"This dog got me livin', I should bark it",0
Get yourself in order and I'm on my law shit,1
Ya get it? Law & Order investigatin' niggas that talk shit,1
