line,annotated
[Produced by Organized Noize],1
[Hook],1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
[Verse 1: Big Boi],0
Sir Lucious gots gator belts and patty melts,1
and Monte Carlos,1
And El Dorados;,1
so I'm waking up out of my slumber feeling like Rollo,1
"So follow, it's Showtime at the Apollo minus the Kiki Shepards",1
What about a ho in a leopard-print? Ah,1
"Teddy Pendergrass, cooler than Freddie Jackson",1
Sipping a milkshake in a snowstorm,1
Left her throat warm in the dorm room at the A.U,1
"We blew hay too,",1
athletes might cake you,1
But you must have me mistaken with them statements that you make 'cause,1
[Hook],1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
[Verse 2: Big Boi],0
Canary yellow seven-nine Seville is on display,1
"My nigga Bongo hooked it up, Omar gon' dip my rims today",1
So a nigga can ride out to the Honeycomb Hideout,1
I'mma show you how to wild out like Jack Tripper,1
Let me be bambino on your snipples,1
"YKK on your zipper,",1
lick you like a lizard when I'm slizzard,1
"Or sober,",1
six million ways to fold ya,1
"Like Noah's, I get two's of youse and you get pretty 'D'",1
"But I'll call yo' ass 'round eight-ish, I know you'll be there for me, girl",1
[Hook],1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
[Verse 3: André 3000],0
"Those huge baby eyes, get to runnin' off at they mouth",1
And tellin' me everything that's on your nasty mind,1
"They say you're malnutritioned, in need of vitamin D",1
And invitin' me to that tingle in your spine,1
"I love who you are, I love who you ain't —",1
you're so Anne Frank,1
Let's hit the attic to hide out for 'bout two weeks,1
"Rick James'n, no chains and whips",1
I do suck lips 'til hips jerk in double time,1
"The boy next door's a freak, ha-ha!",1
[Hook],1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
[Outro: André 3000],0
And we are... The coolest motherfunkers on the planet,1
"And my, my...",0
"The sky is fallin', ain't no need to panic",1
But ooh ooh...,0
I got a stick and want yo' automatic,1
"Ooh, ooh, ooh...",0
"Compatible, created in the attic",1
And we are... The coolest motherfunkers on the planet,1
And my my...,0
"The sky is fallin', ain't no need to panic",1
"But ooh, ooh...",0
I got a stick and want yo' automatic,1
"Ooh, ooh, ooh...",0
"Compatible, created in the attic",1
[Hook],1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Don't you think I'm so sexy? I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"Ain't nobody dope as me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
"I love when you stare at me; I'm dressed so fresh, so clean",1
"So fresh and so clean, clean",1
