line,annotated
[Intro],0
"TreOnTheBeat, yeah",1
[Hook],0
None of these peons is fuckin' with me,0
"I got no label, bitch, all of this me",0
"Fuck your opinion, I do not agree",0
"You want a feature, I'm charging a fee",0
All of my mills are droppin' organic,1
All of these labels is startin' to panic,0
DDG poppin' and making some damage,0
I quoted 5 million at Atlantic,0
None of these peons is fuckin' with me,0
"I got no label, bitch, all of this me",0
"Fuck your opinion, I do not agree",0
"You want a feature, I'm charging a fee",0
All of my mills are droppin' organic,1
All of these labels is startin' to panic,0
DDG poppin' and making some damage,0
I quoted 5 million at Atlantic,0
[Verse],0
Too many niggas is all in my ear,0
Bitch I got poppin' in less than a year,0
I shop at Gucci you shopping at Sears,0
I'm making more money than my peers,0
These niggas hatin' on me and I know it,0
"They pull up talkin', ain't never gon' show it",0
I make a hunnid bands and I blow it,0
"Fucking on mommies, that's cuter than Louis",0
I dropped out of college and moved to LA,1
Picked up 40 racks and got me a place,1
Stacked a hunnid racks and bought a i8,0
Next purchase is a house and wraith,0
Boss nigga and I ain't even legal,1
Still ballin' like I play for the Eagles,0
Strip club threw a thousand in singles,0
"Don't compare us nigga, we are not equal",0
[Bridge],0
"You girl just text me she love me, uh",0
"Send dirty text want to fuck me, uh",0
"She tell me that you a dummy, uh",0
"She said my man broke and bummy, uh",0
"Your girl not satisfied, uh",0
"I'ma dick her down right, uh",0
"She text me she stay the night, uh",0
"She cheat on you with my pipe, uh",0
[Verse],0
They don't want life to go my way,0
Pockets lookin' like they overweight,0
"Big money, I collect my pay",0
All these niggas finna know my face,0
Dippin' dabbin' to my checking account,0
"Big number, you can't even pronounce",0
Screenshot couldn't show the amount,1
"1,2,4... I can't even count",1
But enough about the money though,0
"I don't know, you do not call me ""bro""",0
Heard you used to fuck with so and so,0
Promise you I do not know the ho,0
I cannot ever ever take this for granted,0
"No label but, I got the advantage",0
Niggas hatin' and I really can't stand it,0
"Muy bien how I'm doing, in Spanish",1
[Hook],0
None of these peons is fuckin' with me,0
"I got no label, bitch, all of this me",0
"Fuck your opinion, I do not agree",0
"You want a feature, I'm charging a fee",0
All of my mills are droppin' organic,1
All of these labels is startin' to panic,0
DDG poppin' and making some damage,0
I quoted 5 million at Atlantic,0
None of these peons is fuckin' with me,0
"I got no label, bitch, all of this me",0
"Fuck your opinion, I do not agree",0
"You want a feature, I'm charging a fee",0
All of my mills are droppin' organic,1
All of these labels is startin' to panic,0
DDG poppin' and making some damage,0
I quoted 5 million at Atlantic,0
