line,annotated
[Интро: Big Baby Tape +,0
Alizade,0
],0
— Смотри,0
—,0
"Ща, подожди, подожди",0
"— Тебе нужно, тебе нужно записать",0
—,0
"Батя, подожди",0
"Бум-бум, ту-ту-ту, грр!",0
Тэйп ЛаФлэйр,0
Дабл-ап,0
"Эй, эй, эй, эй, эйо, эйо",0
Этот fire,0
Тут Тэйп,0
Трэп-медали,0
[Куплет 1: Big Baby Tape],0
"У, е, блин-блау, брр, йоу, брр",0
Я на кухне не разделываю кур (what? кур),0
"Трэп сияет, будто жопа Линдси Пелас (Линдси Пелас)",0
"Нью Гуччи заменили Нью Бэланс (нью, нью)",0
"Твой пейбэк за месяц на моей ноге (эй, эй)",0
"Нет время. «Время делать деньги», — говорят",0
Бреге,1
(Бреге),0
"Я свалил этот брикет, what? эй",0
"Я варю крэк, эй",0
"Террорист на блоке, как Августо Пиночет (грра!)",0
"Ты считаешь эти сотни, я считаю сотни тысяч",0
"Эта сука стоит задом, просит строго ее высечь (окей)",0
"Бейба начала курить со мной, как Сельма или Пэтти",1
"Эта сука людоед, ведь в ее рту мои дети",0
"Эти-эти птицы с юга, греют грев в моем кармане",0
"Я в игре, как Герман Греф, Талибэн, Goth Money",0
Двадцать тон на Армани,0
Нету связи с мусорами,0
"Твоя дочка вместе с нами, подсадил ее на малли",0
[Припев: Big Baby Tape &,0
Alizade,0
],0
Трэп-медали,0
"Трэп-медали; да, я сделал дабл-ап (",0
дабл-ап,0
),0
"Трипл-дабл, я считаю этот guap (",0
этот ,0
guap,0
),0
Трэп-медали (,0
а-а,0
); run it up (,0
run it up,0
),0
Микстура наполняет дабл кап (,0
дабл кап,0
),0
"Трэп-медали, эй (эй), трэп-медали, эй (эй) (",0
дабл-ап,0
),0
"Трэп-медали, порох, зэнни, Бэнзо, малли (",0
этот ,0
guap,0
),0
"Трэп-медали, эй (эй), трэп-медали, эй (эй) (",0
run it up,0
),0
"Трэп-медали, порох, зэнни, Бэнзо, малли (",0
дабл кап,0
),0
[Куплет 2: Tape LaFlare],0
"У меня есть плаг, у меня есть сквад (эй, эй)",0
"Ты просто факбой, нигга, не суйся на мой блак (на мой блак)",0
"Каждый день на ралли, я делаю guap (этот guap)",0
"У меня есть кэш, мой пэйбек и большой блант",0
"Пау-пау-пау, мы ворвались — это финесс (эйау)",0
"Эмси падают на пол, Узи тул на перевес (грр)",0
"Да, мы слайдим на двадцатых, зацени это литье (эйоу)",0
"Ты хочешь быть мной, но, парень, это не твое",0
"Я, как Мистер Крабс, где же мой рецепт?",1
"Было много планктонов, они не увидят свет",1
"Им нужен мой рецепт, эй-эй, я варю крэк",1
"Твой трэп-хаус — Чам Баккет, мой трэп-хаус — Назарет (окей)",1
Она просит меня сказать три заветных слова,0
"И я крикну: «Нахуй фэйм, нигга, главное доллар»",0
"Она просит меня сказать, что я ее люблю",1
"Я скажу: «Бейба, остынь и не пори хуйню»",1
(иди нахуй!),0
[Припев: Big Baby Tape &,0
Alizade,0
],0
"Трэп-медали; да, я сделал дабл-ап (",0
дабл-ап,0
),0
"Трипл-дабл, я считаю этот guap (",0
этот ,0
guap,0
),0
Трэп-медали (,0
а-а,0
); run it up (,0
run it up,0
),0
Микстура наполняет дабл кап (,0
дабл кап,0
),0
"Трэп-медали, эй (эй), трэп-медали (",0
дабл-ап,0
),0
"Трэп-медали, порох, зэнни, бензо, малли (",0
этот ,0
guap,0
),0
"Трэп-медали, эй (эй), трэп-медали (",0
run it up,0
),0
"Трэп-медали, порох, зэнни, бензо, малли (",0
дабл кап,0
),0
