line,annotated
[Intro],0
Pyroman,0
Pédé,0
[Couplet unique],0
"Yeah, PMW a tout pété, j'fais des showcases tout par uh!",1
"Tout s'passe comme prévu direct, dans le Viano vie de routard",1
"Dire qu'ça a failli être un feat, j'aurais perdu la moitié",1
"Les alliés s'en sont allés, les cousins débarquent à tout va",0
"Combien tu touches ? 16 000 E pour dix minutes, non négociable",0
"Ble-ci touchée, au milieu,",0
j'suis Popeye qui graille du Fumbwa,1
Je l'avais dit dans Gazon que je ferai sûrement de la zumba,1
"Il ne parle que très peu français, mais Thibaut Courtois valida",1
"L'album n'est même pas doré, j'vois des copies tout par uh",1
"Ça ne sait même pas chanter, donc normal ça parle sur snap uh",1
"D'ailleurs c'n'est sûrement pas par peur, qu'à celle-ci je n'réponds pas",1
Ça me semble logique de rien dire à une poucave,1
"Fais la machine maman, le rap ça paye, y'a du liquide",1
"On m'demande ""comment va ?"" J'réponds ça baigne, oui, oui, oui",0
"J'suis devenu celle qu'on veut pigeonner, arou, arou, arou",1
"Courage à vous, vous êtes trompé d'aviaire, ah oui, ah oui, ah oui",1
"Booba mon négro sûr, même si il s'désabonne (désabonne)",1
"Vos polémiques, j'en LOL sous peroxyde d'azote (peroxyde d'azote)",1
"Les ragots des twittos, oh moi aussi j'adore (oh oui j'adore)",0
"J'follow QBINZe, Amine, rebeudeter",1
j'm'endors,0
"Entêtée, j'me réveille en TT,",0
"j'te parle pas, où est ma caisse ?",1
"Quand je le dis, ça glisse, quand je le fais, ça gène",1
"Bienvenue en France, les hustles, ça dénigre, la go prend juste des dièses",1
"Dans champs de coton, négresse, c'est là où est ta chaise",1
"Mais en soi, si j'voulais, j'pourrais pas le faire",0
"Essayer d'surrender, j'saurais pas le faire",0
(Pyroman),0
"Mochi, mochi nougât m'appelle chaperon vert",0
(Pyroman),0
"T'as sauté de mon ch'min, fallait pas y être",0
"Le prochain va tout péter, j'ferai des concerts tout-par uh",1
"La fan-base est trop solide, secoue-là, elle bouge pas",1
"Si j'te dis j’arrête demain, ça sera suivi par ""canular""",1
Les alliés n'reviendront pas mais mieux vaut maintenant que plus tard,1
