line,annotated
[Intro: Fuzzy Jones],1
"Well, it is a weepin' and a moanin' and a gnashin' of teeth",1
It is a weepin' and a mournin' and a gnashin' of teeth,1
It is a— when it comes to my sound which is the champion sound,1
"Believe, believe",1
"[Chorus: YB, Big Sean & Fuzzy Jones]",1
"O-o-o-o-o-okay, Lamborghini Mercy",1
"Your chick, she so thirsty",1
I-I-I-I-I'm in that two-seat Lambo,1
"With your girl, she tryna jerk me (Believe)",1
"O-o-o-o-o–okay, Lamborghini Mercy",1
"Your chick, she so thirsty",1
I–I–I–I–I'm in that two-seat Lambo,1
"With your girl, she tryna jerk me",1
"O-o-o-o-o-okay, Lamborghini Mercy (Swerve)",1
"Your chick, she so thirsty (Swerve)",1
I-I-I-I-I'm in that two-seat Lambo,1
"With your girl, she tryna jerk me (Woah) (Believe)",1
"O-o-o-o-o-okay, Lamborghini Mercy",1
"Your chick, she so thirsty (Boy)",1
I-I-I-I-I'm in that two-seat Lambo (Boy),1
"With your girl, she tryna jerk me",1
[Verse 1: Big Sean &,0
Kanye West,0
],0
"Okay, drop it to the floor, make that ass shake (Shake, shake)",1
"Woah, make the ground move: that's an ass quake",1
Built a house up on that ass: that's an ass-tate,1
Roll–roll–roll my weed on it: that's an ass tray,1
"Say, Ye, say, Ye, don't we do this every day–day? (Huh?)",1
"I work them long nights, long nights to get a payday (Huh?)",1
"Finally got paid, now I need shade and a vacay",1
And niggas still hatin',0
"So much hate, I need a AK (AK)",0
"Now we out in Paris, yeah, I'm Perrierin'",1
White girls politickin': that's that Sarah Palin,1
"Get–get–get–get–get–gettin' hot, Californicatin'",1
"I give her that D, 'cause that's where I was born and raised in",1
"[Chorus: YB, Big Sean & Fuzzy Jones]",1
"O-o-o-o-o-okay, Lamborghini Mercy (Swerve)",1
"Your chick, she so thirsty (Swerve)",1
I-I-I-I-I'm in that two-seat Lambo (Swerve),1
"With your girl, she tryna jerk me (Swerve) (Believe)",1
"O-o-o-o-o-okay, Lamborghini Mercy (Swerve)",1
"Your chick, she so thirsty (Swerve)",1
I-I-I-I-I'm in that two-seat Lambo (Swerve),1
"With your girl, she tryna jerk me (Swerve)",1
[Refrain: Fuzzy Jones & Big Sean],1
"Well, it is a weepin' and a moanin' (Swerve)",1
And a gnashin' of teeth (Swerve),1
It is a weepin' and a mournin' (Swerve),1
And a gnashin' of teeth (Swerve),1
It is a— when it comes to my sound (Swerve),1
Which is the champion sound (Swerve),1
"Believe, believe (Swerve)",1
"Believe, believe (Swerve)",1
[Verse 2: Pusha T],1
Yuugh!,1
"It's prime time, my top back, this pimp game, ho",1
"I'm red leather, this cocaine, I'm Rick James, ho",1
"I'm bill-droppin', Ms. Pac-Man, this pill-poppin' ass ho",1
"I'm poppin' too,",1
these blue dolphins need two coffins,1
All she want is some heel money,1
All she need is some bill money,1
"He take his time, he counts it out",1
"I weighs it up, that's real money",1
"Check the neck, check the wrist",1
Them heads turnin': that's exorcist,1
My Audemars like Mardi Gras,1
"That's Swiss time, and that's excellence",1
Two-door preference,1
"Roof gone, George Jefferson",1
That white frost on that pound cake,1
"So your Duncan Hines is irrelevant, woo",1
Lambo Murciélago,1
She go wherever I go,1
"Wherever we go, we do it pronto, it's like—",1
"[Chorus: YB, Big Sean & Fuzzy Jones]",1
"O-o-o-o-o-okay, Lamborghini Mercy (Swerve)",1
"Your chick, she so thirsty (Swerve)",1
I-I-I-I-I'm in that two-seat Lambo (Swerve),1
"With your girl, she tryna jerk me (Swerve) (Believe)",1
