line,annotated
[Produced by Kanye West and Jon Brion],1
[Intro: Jamie Foxx],1
She take my money when I'm in need,1
"Yeah, she's a triflin' friend indeed",1
"Oh, she's a gold digger",1
Way over town that digs on me,1
[Hook: Kanye West & (Jamie Foxx)],1
(She give me money),0
"Now, I ain't sayin' she a gold digger",1
(When I'm in need) But she ain't messin' with no broke niggas,1
"(She give me money) Now, I ain't sayin' she a gold digger",0
(When I'm in need) But she ain't messin' with no broke niggas,0
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head",1
[Verse 1: Kanye West],0
"Cutie the bomb, met her at a beauty salon",1
With a baby Louis Vuitton under her underarm,1
"She said: ""I can tell you rock, I can tell by your charm",1
"Far as girls, you got a flock",0
"I can tell by your charm and your arm""",0
"But I'm lookin' for the one, have you seen her?",1
My psychic told me she'll have a ass like Serena,1
"Trina, Jennifer Lopez,",1
four kids,1
And I gotta take all they bad asses to ShowBiz?,1
"Okay, get your kids, but then they got their friends",0
"I pulled up in the Benz, they all got up in",0
We all went to din' and then I had to pay,0
"If you fuckin' with this girl, then you better be paid",0
You know why? It take too much to touch her,0
From what I heard she got a baby by Busta,1
My best friend said she used to fuck with Usher,1
"I don't care what none of y'all say, I still love her",1
[Hook: Kanye West & (Jamie Foxx)],1
(She give me money),0
"Now, I ain't sayin' she a gold digger",1
(When I'm in need) But she ain't messin' with no broke niggas,1
"(She give me money) Now, I ain't sayin' she a gold digger",0
(When I'm in need) But she ain't messin' with no broke niggas,0
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head",1
[Verse 2: Kanye West],1
"Eighteen years, eighteen years",1
"She got one of your kids, got you for eighteen years",1
I know somebody payin' child support for one of his kids,0
His baby mama car and crib is bigger than his,0
You will see him on TV any given Sunday,1
Win the Super Bowl and drive off in a Hyundai,1
She was supposed to buy your shorty Tyco with your money,1
"She went to the doctor, got lipo with your money",1
She walkin' around lookin' like Michael with your money,1
"Shoulda got that insured, Geico for your money",1
If you ain't no punk,1
"Holla, ""We want prenup! We want prenup!"" (Yeah!)",1
It's somethin' that you need to have,1
"‘Cause when she leave yo' ass, she gon' leave with half",1
"Eighteen years, eighteen years",1
"And on the 18th birthday, he found out it wasn't his?",1
[Hook: Kanye West & (Jamie Foxx)],1
(She give me money),0
"Now, I ain't sayin' she a gold digger",1
(When I'm in need) But she ain't messin' with no broke niggas,1
"(She give me money) Now, I ain't sayin' she a gold digger",0
(When I'm in need) But she ain't messin' with no broke niggas,0
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head",1
[Verse 3: Kanye West],1
"Now, I ain't sayin' you a gold digger, you got needs",1
"You don't want a dude to smoke, but he can't buy weed",1
"You go out to eat, he can't pay, y'all can't leave",1
"There's dishes in the back, he gotta roll up his sleeves",1
"But while y'all washin', watch him",1
He gon' make it to a Benz out of that Datsun,1
"He got that ambition, baby, look at his eyes",1
"This week he moppin' floors, next week it's the fries",1
So stick by his side,1
"I know there's dudes ballin', and yeah, that's nice",1
"And they gonna keep callin' and tryin', but you stay right, girl",1
"And when you get on, he'll leave yo' ass for a white girl",1
[Hook: Kanye West & (Jamie Foxx)],1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head, get down",1
(I gotta leave),1
"Get down girl, go 'head",1
[Outro: Kanye West],0
Let me hear that back,0
